movie_title,comment,tag
肖申克的救赎 The Shawshank Redemption,天知道第几次重看。它最伟大可贵的地方大概一方面是多层次嵌套的丰富主题，另一方面则是一种内在的timeless品质和情感表述，因此无论观众身处哪个时代，来自何种背景，抱持怎样的心理状态，都能够有效甚至不由自主地relate其中的某个角色或某段情节。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,人的信念真的太强大，只要想做，而且坚持，总有一天会实现。知识的力量也是很强大的。看完这部电影，感觉自己又对美好的生活充满了向往。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"It takes a strong man to save himself, and a great man to save another.",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,真的不喜欢，不好看，没感觉,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,如今这肖申克囚禁着整代人。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,我想打100分，最大的感受除了，知识真的可以改变命运。还有要永远热爱生活。hope is  good thing.,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,其实没那么好,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,你猜不到的结局…猜不到的惊异…,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,他说，不要放弃希望。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,值得看2遍以上的电影 没看过一定要看,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这部电影好到，含义深刻到我不敢妄自评价……总之，力荐!,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,剧本有问题。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,原來那個鏡頭是來自這部電影的。總算把imdb最高分的電影看了。但是我的評分就不方便給了。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,很久以前就想看这部剧，今天终于看了。最震撼的就是安迪越狱的那一段，无论是配乐还是色彩或是安迪的动作神态，都掌握的很好！从此以后，他再也不用承担本不是他的惩罚，他，终于自由了！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这个电影包含了友谊，艰辛，希望和梦想。之所以它获得了成功因为它感动了你，它给了你希望给了你启示！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,男主挺帅挺聪明的，不然怎么能玩越狱。。。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,不管怎么说，真的很佩服男主的毅力，在那样的情况下一直没有迷失自己，追求自己向往的自由。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,我一直不知道该如何形容我对它的感觉，现在终于找到了一个词：最炫民族风。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,值得看几遍,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,片子不错，但始终get不到网上把这部片子捧到神坛的点在哪,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,看到豆瓣排名第一，很好奇去看了这部电影，印象最深的就是图书馆的老爷爷坐50年牢出狱后因为适应不了外面的生活选择上吊自杀，最后男主获得自由，瑞德和男主在海边相遇很暖,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,所谓造梦，大概就是这样，给人以希望与光明，令人感受到那一种震撼。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,好好想想是中国人拍的打几分,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,看了一遍原著小说，觉得这个电影还是很好看,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,那片海蓝的太不像话了。。怎么可以那么蓝~~,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,很难有一部电影能比《肖申克的救赎》能更好的诠释梦想与救赎这两个词的关联和真谛，电影予人带来心理的震撼与洗涤从未如此的深刻，主角安迪与男二黑人瑞德主辅相成的两条脉络营造了一个关乎追梦自由和心灵救赎最好的诠释，生活其实本就一直有着梦想，哪怕失败，只要能心拥梦想，便定能获得希望的救赎。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,我们都是病人 渴望活着 好好的活着 却惧怕生活,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,经典到不知道用什么言语来评价它,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,里面一句很经典的台词，生活不是为了生而活，而是为了活而生。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,今天才看的，很厉害啊……这种片中国……不得不说男主很厉害啊，聪明，机智……有点心疼老布,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,朋友在你的生命中进进出出，好像餐厅中的侍者来来去去一样。可是每当我想起那场梦、想到那两具尸体正用力拖我下水的时候，我就觉得这样也好。有的人会沉沦，如此而已，并不公平，但世事就是这样，有的人会沉沦下去。希望还是要有的，没了希望，怎么行,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,确实经典，就是人信念的力量吧，真佩服男主的脑袋,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"2002.3.3 DVD 
2007.7.27 DVD home
2008.8.2  CCTV6",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"影响自己人生观的一部电影，距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。

在我眼里，肖申克的救赎与信念、自由和友谊有关。",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,也许是类似的故事看得太多了，以致我无法给出五星,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,看完特别震撼,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,嗯，打一颗星不代表在我眼里它很差，只是9.7分太夸张了，需要低分中和一下。当然，在一百九十多万的评分下，我的一颗星不值一提。但它代表了我个人的态度。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,电影塑造了一个充满希望，向往自由的男主人公形象。在身边的人都变得体制化之后，只有他是怀有希望之人。小说里面出现过两个人的旁白，一个是男主的好朋友，一个是看守图书馆的人，以这种别人的视角来诉说，更给人一种悬疑感和真实感。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,Freedom,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,要么忙着生，要么忙着死。他用一把鹤嘴锄破解了这个古老命题，通往梦想之蓝。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,经典电影 看完以后感触不是很大 额 随大流给个四星,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,“人活着得有希望”，一点都没有错，当老布自杀的时候我在想他应该回到监狱里度过剩余的日子，可是当安迪终于出去的时候又是那么美好，人啊真的得有希望才能快乐勇敢的活下去。当我失意的时候就想起这个片子，想起他那么努力想尽办法的脱身，觉得我一定也可以冲出重围重新站起来，真的太励志了。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,不容错过的经典电影。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,不只是肖申克的救赎，也是我们内心对自己的救赎,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这部片子播后，入狱的场景衍生一系列的同人文，教皇般的典狱长，东西两派，同性狎轧成了美国监狱片少不了的场景。当然被人津津乐道的一个场面是，男主角逃脱出狱后迎着风雨呐喊自由的场景。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,很有感觉的一部片子。。人性,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,好看，我不喜欢。有点平淡,剧情 犯罪
